,Close,next_year,year,mid_jan_price,mid_feb_price,mid_mar_price,mid_apr_price,mid_may_price,mid_jun_price,mid_jul_price,mid_aug_price
2000-09-15,146.65625,2001,2001.0,132.125,133.0,117.400002,118.57,125.32,121.839996,122.0,118.160004
2001-09-10,110.050003,2002,2002.0,115.099998,110.790001,116.720001,110.650002,109.480003,101.470001,92.190002,93.57
2002-09-13,89.489998,2003,2003.0,92.169998,84.019997,83.650002,89.68,95.160004,99.580002,100.510002,99.550003
2003-09-15,101.720001,2004,2004.0,113.82,115.18,111.339996,112.959999,110.07,114.050003,110.75,107.260002
2004-09-15,112.82,2005,2005.0,118.470001,121.360001,120.330002,114.07,115.669998,120.980003,122.860001,123.699997
2005-09-15,123.099998,2006,2006.0,128.800003,128.330002,130.919998,129.009995,129.759995,126.269997,123.800003,128.880005
2006-09-15,132.820007,2007,2007.0,143.570007,146.100006,139.75,145.479996,150.729996,153.869995,155.100006,141.25
2007-09-14,149.179993,2008,2008.0,138.240005,135.300003,129.479996,133.720001,142.789993,136.619995,121.620003,130.289993
2008-09-15,120.519997,2009,2009.0,84.699997,82.989998,76.279999,85.480003,88.940002,93.18,93.599998,101.050003
2009-09-15,106.040001,2010,2010.0,114.0,108.389999,115.879997,121.68,114.279999,112.32,110.099998,108.690002
2010-09-15,113.489998,2011,2011.0,129.710007,133.5,129.089996,132.559998,134.5,127.449997,132.160004,121.029999
2011-09-15,121.830002,2012,2012.0,129.5,135.070007,141.220001,137.589996,133.830002,135.199997,136.300003,141.559998
2012-09-14,147.880005,2013,2013.0,147.800003,152.949997,157.369995,155.929993,166.970001,164.020004,169.149994,167.229996
2013-09-13,170.179993,2014,2014.0,185.779999,185.089996,185.759995,185.360001,188.550003,195.360001,198.490005,197.020004
2014-09-15,200.259995,2015,2015.0,200.429993,211.279999,207.270004,211.910004,213.910004,210.529999,211.889999,210.630005
2015-09-15,199.619995,2016,2016.0,188.740005,187.550003,203.220001,208.789993,205.75,208.770004,217.029999,220.369995
2016-09-15,216.520004,2017,2017.0,228.389999,236.339996,240.389999,234.029999,241.789993,245.380005,247.100006,248.149994
2017-09-15,252.139999,2018,2018.0,279.910004,275.019989,277.049988,266.970001,272.809998,280.309998,281.429993,283.649994
2018-09-14,292.910004,2019,2019.0,261.910004,279.160004,284.279999,291.920013,287.029999,291.25,302.459991,286.339996
2019-09-13,302.869995,2020,2020.0,329.660004,339.070007,271.549988,278.570007,287.160004,306.890015,323.160004,338.190002
2020-09-15,341.570007,2021,2021.0,377.100006,394.179993,398.01001,417.420013,418.170013,424.929993,436.570007,447.850006
2021-09-15,449.899994,2022,2022.0,466.75,448.0,428.040009,439.700012,403.410004,379.459991,387.130005,431.140015
2022-09-15,392.070007,2023,2023.0,400.369995,415.880005,391.160004,414.25,414.779999,443.209991,451.649994,445.339996
2023-09-15,447.049988,2024,2024.0,478.959991,504.350006,513.22998,506.950012,532.47998,538.330017,538.330017,538.330017
2024-06-10,538.330017,2025,,,,,,,,,
